OBJECTID,Boro,Type,Provider,Lat,Long_,Location_T,City
2011,MN,Free,BETA LinkNYC - Citybridge,40.809965,-73.958889,Outdoor Kiosk,New York
2012,MN,Free,BETA LinkNYC - Citybridge,40.810163,-73.958744,Outdoor Kiosk,New York
2013,MN,Free,BETA LinkNYC - Citybridge,40.810378,-73.958321,Outdoor Kiosk,New York
2014,MN,Free,BETA LinkNYC - Citybridge,40.813669,-73.95619,Outdoor Kiosk,New York
2015,MN,Free,BETA LinkNYC - Citybridge,40.818371,-73.952755,Outdoor Kiosk,New York
2016,MN,Free,BETA LinkNYC - Citybridge,40.8196,-73.951942,Outdoor Kiosk,New York
2017,MN,Free,BETA LinkNYC - Citybridge,40.825947,-73.946952,Outdoor Kiosk,New York
2018,BX,Free,BETA LinkNYC - Citybridge,40.827549,-73.925904,Outdoor Kiosk,Bronx
2019,BX,Free,BETA LinkNYC - Citybridge,40.827355,-73.925223,Outdoor Kiosk,Bronx
2020,BX,Free,BETA LinkNYC - Citybridge,40.827828,-73.924842,Outdoor Kiosk,Bronx
2021,MN,Free,BETA LinkNYC - Citybridge,40.824578,-73.952134,Outdoor Kiosk,New York
2022,MN,Free,BETA LinkNYC - Citybridge,40.822703,-73.953499,Outdoor Kiosk,New York
2023,MN,Free,BETA LinkNYC - Citybridge,40.821918,-73.95331,Outdoor Kiosk,New York
2024,MN,Free,BETA LinkNYC - Citybridge,40.814496,-73.95935,Outdoor Kiosk,New York
2025,MN,Free,BETA LinkNYC - Citybridge,40.805516,-73.966052,Outdoor Kiosk,New York
2026,MN,Free,BETA LinkNYC - Citybridge,40.799507,-73.939041,Outdoor Kiosk,New York
2027,MN,Free,BETA LinkNYC - Citybridge,40.791202,-73.944781,Outdoor Kiosk,New York
2028,MN,Free,BETA LinkNYC - Citybridge,40.809412,-73.959029,Outdoor Kiosk,New York
2029,MN,Free,BETA LinkNYC - Citybridge,40.817656,-73.953007,Outdoor Kiosk,New York
2030,MN,Free,BETA LinkNYC - Citybridge,40.827193,-73.946443,Outdoor Kiosk,New York
2031,MN,Free,BETA LinkNYC - Citybridge,40.827195,-73.946043,Outdoor Kiosk,New York
2032,MN,Free,BETA LinkNYC - Citybridge,40.830367,-73.943722,Outdoor Kiosk,New York
2033,MN,Free,BETA LinkNYC - Citybridge,40.832283,-73.942327,Outdoor Kiosk,New York
2034,MN,Free,BETA LinkNYC - Citybridge,40.832732,-73.942268,Outdoor Kiosk,New York
2035,MN,Free,BETA LinkNYC - Citybridge,40.833447,-73.94174,Outdoor Kiosk,New York
2036,MN,Free,BETA LinkNYC - Citybridge,40.833861,-73.941447,Outdoor Kiosk,New York
2037,MN,Free,BETA LinkNYC - Citybridge,40.834247,-73.941163,Outdoor Kiosk,New York
2038,MN,Free,BETA LinkNYC - Citybridge,40.834078,-73.940919,Outdoor Kiosk,New York
2039,MN,Free,BETA LinkNYC - Citybridge,40.834815,-73.940477,Outdoor Kiosk,New York
2040,MN,Free,BETA LinkNYC - Citybridge,40.798535,-73.969281,Outdoor Kiosk,New York
2041,QU,Free,BETA LinkNYC - Citybridge,40.718602,-73.838184,Outdoor Kiosk,Queens
2042,MN,Free,BETA LinkNYC - Citybridge,40.777227,-73.982777,Outdoor Kiosk,New York
2043,MN,Free,BETA LinkNYC - Citybridge,40.775999,-73.983247,Outdoor Kiosk,New York
2044,MN,Free,BETA LinkNYC - Citybridge,40.776066,-73.983627,Outdoor Kiosk,New York
2045,MN,Free,BETA LinkNYC - Citybridge,40.773006,-73.958069,Outdoor Kiosk,New York
2046,MN,Free,BETA LinkNYC - Citybridge,40.721425,-73.993454,Outdoor Kiosk,New York
2047,MN,Free,BETA LinkNYC - Citybridge,40.717924,-73.994956,Outdoor Kiosk,New York
