OBJECTID,BORO,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY
1248,MN,Free,Harlem,40.809672,-73.944004,Outdoor,New York
1249,MN,Free,Harlem,40.812491,-73.942248,Outdoor,New York
1250,MN,Free,Harlem,40.812944,-73.941693,Outdoor,New York
1251,MN,Free,Harlem,40.815705,-73.939519,Outdoor,New York
1252,MN,Free,Harlem,40.801951,-73.953554,Outdoor,New York
1253,MN,Free,Harlem,40.800652,-73.954616,Outdoor,New York
1254,MN,Free,Harlem,40.802298,-73.952405,Outdoor,New York
1255,MN,Free,Harlem,40.800546,-73.952427,Outdoor,New York
1256,MN,Free,Harlem,40.803511,-73.952942,Outdoor,New York
1257,MN,Free,Harlem,40.798102,-73.950349,Outdoor,New York
1258,MN,Free,Harlem,40.799928,-73.954549,Outdoor,New York
1259,MN,Free,Harlem,40.801053,-73.950042,Outdoor,New York
1260,MN,Free,Harlem,40.796528,-73.948492,Outdoor,New York
1261,MN,Free,Harlem,40.799151,-73.947499,Outdoor,New York
1262,MN,Free,Harlem,40.800592,-73.946685,Outdoor,New York
1263,MN,Free,Harlem,40.80135,-73.945756,Outdoor,New York
1264,MN,Free,Harlem,40.802684,-73.945158,Outdoor,New York
1265,MN,Free,Harlem,40.798806,-73.949975,Outdoor,New York
1266,MN,Free,Harlem,40.802617,-73.943026,Outdoor,New York
1267,MN,Free,Harlem,40.801832,-73.943462,Outdoor,New York
1268,MN,Free,Harlem,40.801112,-73.943796,Outdoor,New York
1269,MN,Free,Harlem,40.797335,-73.946924,Outdoor,New York
1270,MN,Free,Harlem,40.799721,-73.944932,Outdoor,New York
1271,MN,Free,Harlem,40.797893,-73.946259,Outdoor,New York
1272,MN,Free,Harlem,40.796554,-73.947474,Outdoor,New York
3551,MN,Free,Transit Wireless,40.768296,-73.981736,Subway Station,New York
3552,MN,Free,Transit Wireless,40.760167,-73.975224,Subway Station,New York
3553,MN,Free,Transit Wireless,40.764811,-73.973347,Subway Station,New York
3554,MN,Free,Transit Wireless,40.753821,-73.981963,Subway Station,New York
548,BK,Limited Free,Time Warner Cable,40.677193,-74.008723,Outdoor,Brooklyn
549,BK,Limited Free,Time Warner Cable,40.677193,-74.008723,Outdoor,Brooklyn
550,BK,Limited Free,Time Warner Cable,40.677193,-74.008723,Outdoor,Brooklyn
3555,MN,Free,Transit Wireless,40.77344,-73.982209,Subway Station,New York
3556,MN,Free,Transit Wireless,40.778453,-73.98197,Subway Station,New York
3557,MN,Free,Transit Wireless,40.775594,-73.97641,Subway Station,New York
3558,MN,Free,Transit Wireless,40.783934,-73.979917,Subway Station,New York
3559,MN,Free,Transit Wireless,40.762862,-73.981637,Subway Station,New York
3560,MN,Free,Transit Wireless,40.739777,-74.002578,Subway Station,New York
3561,MN,Free,Transit Wireless,40.781433,-73.972143,Subway Station,New York
3562,MN,Free,Transit Wireless,40.788644,-73.976218,Subway Station,New York
3563,MN,Free,Transit Wireless,40.785868,-73.968916,Subway Station,New York
3564,MN,Free,Transit Wireless,40.791644,-73.964694,Subway Station,New York
3565,MN,Free,Transit Wireless,40.793919,-73.972323,Subway Station,New York
3566,MN,Free,Transit Wireless,40.751431,-73.976041,Subway Station,New York
3567,MN,Free,Transit Wireless,40.751776,-73.976848,Subway Station,New York
3568,MN,Free,Transit Wireless,40.755983,-73.986229,Subway Station,New York
3569,MN,Free,Transit Wireless,40.755477,-73.987691,Subway Station,New York
3570,MN,Free,Transit Wireless,40.754672,-73.986754,Subway Station,New York
3571,MN,Free,Transit Wireless,40.75529,-73.987495,Subway Station,New York
3572,MN,Free,Transit Wireless,40.752769,-73.979189,Subway Station,New York
3573,QU,Free,Transit Wireless,40.754203,-73.942836,Subway Station,Queens
